user1,user2
229180632,1895099
229180632,2047488
229180632,4839454
229180632,18501313
229180632,56015545
229180632,73708828
229180632,95646819
229180632,97585240
229180632,107030267
229180632,146920700
229180632,147818686
229180632,151825953
229180632,170893789
229180632,171353118
229180632,174887568
229180632,178376068
229180632,182278035
229180632,183052038
229180632,185132841
229180632,185376012
229180632,185668165
229180632,186326149
229180632,189943566
229180632,190633284
229180632,207810029
229180632,212402091
229180632,213212979
229180632,214820911
229180632,216706160
229180632,223200017
229180632,235367802
229180632,243849402
229180632,256134235
229180632,268815963
229180632,280631960
229180632,284195925
229180632,291787447
229180632,306096435
229180632,306356294
229180632,307521672
229180632,310207988
229180632,316729974
229180632,323307067
229180632,372565444
229180632,381528565
229180632,391444561
229180632,413869523
229180632,448104698
229180632,458487719
229180632,494195764
1895099,16072
1895099,140879
1895099,143245
1895099,151578
1895099,176813
1895099,229765
1895099,279143
1895099,283109
1895099,311628
1895099,311724
1895099,332590
1895099,361121
1895099,375656
1895099,497434
1895099,526637
1895099,560331
1895099,639918
1895099,669412
1895099,698777
1895099,708487
1895099,763453
1895099,769385
1895099,792050
1895099,818645
1895099,837417
1895099,847277
1895099,852244
1895099,877561
1895099,898140
1895099,904632
1895099,904962
1895099,975950
1895099,977104
1895099,990770
1895099,996129
1895099,1026715
1895099,1051054
1895099,1104468
1895099,1124604
1895099,1134346
1895099,1166940
1895099,1179407
1895099,1212560
1895099,1243413
1895099,1272649
1895099,1304692
1895099,1333351
1895099,1351526
1895099,1357192
1895099,1390746
1895099,1395616
1895099,1429004
1895099,1459389
1895099,1462214
1895099,1484437
1895099,1529508
1895099,1543992
1895099,1544202
1895099,1552113
1895099,1560877
1895099,1588061
1895099,1592410
1895099,1598760
1895099,1662299
1895099,1667492
1895099,1685645
1895099,1705347
1895099,1709889
1895099,1737442
1895099,1753477
1895099,1769294
1895099,1780282
1895099,1791183
1895099,1851982
1895099,1887907
1895099,1910397
1895099,1918775
1895099,1924545
1895099,1941122
1895099,1942343
1895099,1946039
1895099,1952957
1895099,2005024
1895099,2025688
1895099,2088894
1895099,2093514
1895099,2099811
1895099,2158982
1895099,2164828
1895099,2182006
1895099,2197497
1895099,2207456
1895099,2215004
1895099,2232035
1895099,2236492
1895099,2288362
1895099,2315513
1895099,2333619
1895099,2353098
1895099,2373290
1895099,2377918
1895099,2409806
1895099,2416461
1895099,2448007
1895099,2466286
1895099,2468380
1895099,2508734
1895099,2518194
1895099,2561479
1895099,2583114
1895099,2622032
1895099,2643534
1895099,2651399
1895099,2660870
1895099,2679056
1895099,2687248
1895099,2745405
1895099,2785397
1895099,2787176
1895099,2789607
1895099,2789832
1895099,2815575
1895099,2884147
1895099,2913567
1895099,2914090
1895099,2975647
1895099,2984311
1895099,2994436
1895099,2997161
1895099,2997269
1895099,3037329
1895099,3052601
1895099,3058480
1895099,3075124
1895099,3113885
1895099,3123683
1895099,3153354
1895099,3168087
1895099,3174411
1895099,3197686
1895099,3200023
1895099,3221114
1895099,3222889
1895099,3248322
1895099,3263221
1895099,3288324
1895099,3306199
1895099,3307759
1895099,3323554
1895099,3326457
1895099,3356413
1895099,3376218
1895099,3395896
1895099,3399689
1895099,3457702
1895099,3462654
1895099,3468290
1895099,3474380
1895099,3487260
1895099,3488248
1895099,3590820
1895099,3591411
1895099,3603040
1895099,3621093
1895099,3653529
1895099,3664798
1895099,3719863
1895099,3722256
1895099,3755691
1895099,3766109
1895099,3766911
1895099,3778846
1895099,3788900
1895099,3882262
1895099,3887025
1895099,3904592
1895099,3951907
1895099,3977835
1895099,3977944
1895099,3999224
1895099,4017145
1895099,4026763
1895099,4086483
1895099,4166269
1895099,4183866
1895099,4233801
1895099,4236874
1895099,4239744
1895099,4249894
1895099,4265068
1895099,4268092
1895099,4298397
1895099,4344792
1895099,4369216
1895099,4399374
1895099,4437757
1895099,4493205
1895099,4509938
1895099,4517637
1895099,4550168
1895099,4562733
1895099,4641307
1895099,4681205
1895099,4697466
1895099,4787862
1895099,4793800
1895099,4802445
1895099,4838495
1895099,4871553
1895099,5025670
1895099,5037996
1895099,5061963
1895099,5073355
1895099,5112715
1895099,5132119
1895099,5179410
1895099,5261665
1895099,5317671
1895099,5342690
1895099,5363307
1895099,5376973
1895099,5580568
1895099,5620697
1895099,5650044
1895099,5754621
1895099,5781606
1895099,5784080
1895099,5820542
1895099,5820824
1895099,5836596
1895099,5909344
1895099,5958237
1895099,6010883
1895099,6028960
1895099,6041741
1895099,6117815
1895099,6133450
1895099,6133576
1895099,6189176
1895099,6222339
1895099,6277419
1895099,6288295
1895099,6289550
1895099,6348871
1895099,6424698
1895099,6443811
1895099,6482898
1895099,6494966
1895099,6513314
1895099,6523549
1895099,6550800
1895099,6553681
1895099,6558750
1895099,6570016
1895099,6734053
1895099,6752524
1895099,6775694
1895099,6851865
1895099,6953104
1895099,7027525
1895099,7052551
1895099,7157612
1895099,7174020
1895099,7183823
1895099,7184206
1895099,7210299
1895099,7287875
1895099,7312964
1895099,7328632
1895099,7417676
1895099,7433907
1895099,7477092
1895099,7596575
1895099,7648380
1895099,7651946
1895099,7687050
1895099,7844176
1895099,7916396
1895099,7933813
1895099,8020685
1895099,8069515
1895099,8082807
1895099,8083694
1895099,8189667
1895099,8377881
1895099,8384381
1895099,8401884
1895099,8408316
1895099,8415179
1895099,8417360
1895099,8461964
1895099,8484313
1895099,8609233
1895099,8678987
1895099,8697425
1895099,8723100
1895099,8797343
1895099,8803395
1895099,8915195
1895099,8929416
1895099,8940065
1895099,8945134
1895099,9103374
1895099,9295750
1895099,9313996
1895099,9341513
1895099,9559797
1895099,9585410
1895099,9615881
1895099,9635025
1895099,9664811
1895099,9695936
1895099,9854607
1895099,10054372
1895099,10054655
1895099,10263197
1895099,10403847
1895099,10407903
1895099,10472657
1895099,10531334
1895099,10716768
1895099,10769626
1895099,11068157
1895099,11085790
1895099,11277001
1895099,11340193
1895099,11454369
1895099,11475398
1895099,11770966
1895099,11776019
